tier,leagueId,queue,name,date,summonerId,summonerName,leaguePoints,rank,wins,losses,veteran,inactive,freshBlood,hotStreak
GRANDMASTER,f238e575-fb80-33d0-9945-df054bcf9b10,RANKED_SOLO_5x5,Zilean's Enforcers,2023-12-10,8lFBHYfghpKBRu0jhINkn8bNlsfoReFfXwKfQGgaYFIrrT0,Twilight Ranger1,733,I,76,40,False,False,False,False
GRANDMASTER,f238e575-fb80-33d0-9945-df054bcf9b10,RANKED_SOLO_5x5,Zilean's Enforcers,2023-12-10,VWR9tiAip16nhxwCq7tTv0mjmLQx8bFrGm7kNO71-9weR6g,Żeus,531,I,189,141,False,False,True,True
GRANDMASTER,f238e575-fb80-33d0-9945-df054bcf9b10,RANKED_SOLO_5x5,Zilean's Enforcers,2023-12-10,V2WsVLScbm00GMrMW77hmJiCuL8GHH7g_HWx4T2D8xuBj_M,Chynx,552,I,98,77,False,False,True,True
GRANDMASTER,f238e575-fb80-33d0-9945-df054bcf9b10,RANKED_SOLO_5x5,Zilean's Enforcers,2023-12-10,gpvQ1jTJT0s6k8eqIsZRrUCrVPgA-vj29H8HaVsMCzqnEwx3,eres lindo,562,I,359,367,False,False,True,False
GRANDMASTER,f238e575-fb80-33d0-9945-df054bcf9b10,RANKED_SOLO_5x5,Zilean's Enforcers,2023-12-10,S-G2ZsTXYTmRTd_0s68gKVzj3ktyLGfJVjFuVV-6HYiVWrs,SBU drug dealer,622,I,236,220,False,False,False,False
GRANDMASTER,f238e575-fb80-33d0-9945-df054bcf9b10,RANKED_SOLO_5x5,Zilean's Enforcers,2023-12-10,Ap3fAQqJx1MxUm0Xi1oGaaPsamcSs43Qk9wzfsjoBgB9y20,Scvchau,742,I,186,152,False,False,True,True
GRANDMASTER,f238e575-fb80-33d0-9945-df054bcf9b10,RANKED_SOLO_5x5,Zilean's Enforcers,2023-12-10,k1vW35Ks6KIh9bwmeJh4e7xn5tp34sKP9QEYBNtn1h-88gk,mohawk,641,I,101,70,False,False,False,False
GRANDMASTER,f238e575-fb80-33d0-9945-df054bcf9b10,RANKED_SOLO_5x5,Zilean's Enforcers,2023-12-10,xbuz8hRfGVYEPJxD2LKJUQUzom7-tzRscs8r9650XYSQeJw,Døubtful,525,I,100,75,False,False,False,False
GRANDMASTER,f238e575-fb80-33d0-9945-df054bcf9b10,RANKED_SOLO_5x5,Zilean's Enforcers,2023-12-10,nZ6d_6IX7ulUg4afCeWWeh_xhHIQln-rxDusdMsOqb0UAmM,Sunbeh,901,I,150,115,False,False,False,True
GRANDMASTER,f238e575-fb80-33d0-9945-df054bcf9b10,RANKED_SOLO_5x5,Zilean's Enforcers,2023-12-10,751VbX-CqzphGuYLaQqanVDnP4avM7kPkn8EBJkhE_OMWdXO,MILuyaa,606,I,135,111,False,False,False,True
GRANDMASTER,f238e575-fb80-33d0-9945-df054bcf9b10,RANKED_SOLO_5x5,Zilean's Enforcers,2023-12-10,W5dptjaVN6WnMSP17xM6Dr0CnUWTPhb8gVy-HfuZwhZWy7b4,Bellydrum,590,I,227,216,False,False,False,False
